Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Suicune (Apex), Tier 5","Suicune (Apex), Tier 5","Suicune, Tier 5","Suicune, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Brionne, Tier 3","Brionne, Tier 3","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Feraligatr, Tier 3","Feraligatr, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Politoed, Tier 3","Politoed, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
(Boss weights),,,,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.7894736842105263,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Vileplume,Razor Leaf or Acid,Solar Beam,30,1.8981518662856278,1.4802507544218713,1.495985355012945,1.5057710408167984,1.447247271141964,1.4501967101909896,1.3902106957860842,1.395995256565457,1.4489919280253387,1.466801901461555,1.4707094167528563,1.459201006453642,1.474747727622734,1.4877360506227268,1.495167130260106,1.3799328723752688,1.4122231782192232,1.389403003934074,1.6974035024883598,1.491751360019436,1.394462349510593,1.411676396235224,1.4318196162623074,1.4284632133586084,1.8499257671899592,1.5613247240592383,1.3481048803536582,1.4032309437222852,1.443652077395343,1.4116694768274973,1.3631711428631543,1.3688846446056866,1.52346700493029,1.5470609764119925,1.446825944636649,1.4372695744096853,1.5219494873128636,1.4661695802073806,1.4551556946585815,1.4130993496062858,1.4082822720812265,1.3853510923513965,1.4919156761690613,1.3873752867820706,1.3914213023307846,1.4201855000144075,1.3953576332707494,1.421462384753938,1.4967707687974423,1.3930318203946708,1.4943636236252118,1.4794065225280317,1.51605646759236,1.473031196075475,1.4342495894510354,1.47024524746897,1.5563385771140106,1.461980338539847,1.3797552384023217,1.3846367447544692,1.3552563541081624,1.3499389669683615,1.5275583363254208,1.4346797752659703
Shadow Tangrowth,Vine Whip,Power Whip,30,1.2156118902846742,1.2072071818345678,1.2739665084800436,1.2959510626103952,1.1972944765724745,1.2405478294919043,1.215612844605853,1.245207497810828,1.216519848849116,1.2332737391276833,1.2273812003653233,1.2431608934695433,1.3530239294640727,1.3676012869674734,1.244622490080717,1.2212634753419518,1.192524500337774,1.2000127697783103,1.2424943770835475,1.2588629811726224,1.1812869152253143,1.204725664789153,1.235830020967319,1.2339258754761564,1.2485790044850844,1.2724610059756019,1.2178196932505168,1.286447102926964,1.2391041887412104,1.2670041540710364,1.2398172238497138,1.2869397785093084,1.2829113636766662,1.2814776641001795,1.1832157971142256,1.223504747965364,1.2749699387902687,1.2968083133678063,1.2093387205439272,1.2172124530746606,1.1856829985357518,1.239344895091138,1.2185980548129596,1.2441594436953005,1.2239675374974788,1.2691048573409294,1.2162407388150263,1.2635803284767166,1.2056093125108354,1.2565575685024892,1.3079624623627364,1.3495734291644301,1.2206381770026609,1.236264603884622,1.2260271051176834,1.2550550137171839,1.2460817607426073,1.2371640727265951,1.2221288240966355,1.2329951173258342,1.1679756953026603,1.242984344752338,1.2253284874283092,1.2294907845010863
Breloom,Counter or Bullet Seed,Grass Knot,50,1.453287122571023,1.2906338488307187,1.3324740454827204,1.3606940772588938,1.2420582432046188,1.2750815030635911,1.213521121734428,1.2356255816060149,1.267875644172336,1.2843295663497798,1.248421646011383,1.2592575710838125,1.3796096631887367,1.3948501726092557,1.2893387114946848,1.2441632421230036,1.3345717636983778,1.2809138696312792,1.2732060360567952,1.296158712139238,1.1162250168309915,1.1144099084603392,1.116682949516446,1.1134266195435953,1.3531506268632825,1.3509545774222123,1.2504382985321785,1.288013520616893,1.25685265091368,1.2517096332708368,1.2650711433051096,1.2750406948415904,1.1719331257514998,1.1390377043297737,1.09211870856574,1.1205424618278368,1.1847056645814482,1.163268445576358,1.2331691426612092,1.240747007833541,1.2191162663413475,1.2511137617717805,1.129051587017141,1.1247010146075846,1.2540412188354384,1.277967296808498,1.2464778637883134,1.2565346647687954,1.1997480135854692,1.225878153475346,1.3392852617618984,1.3543615499422201,1.1241856625682125,1.121232155884427,1.2706029792744096,1.288477721541326,1.3004056515440192,1.2986346294493332,1.239520389570484,1.2682501208004588,1.1784560675949283,1.2247473824267647,1.1331860033147692,1.1066402612674562
Roserade,Poison Jab or Razor Leaf,Grass Knot,45,1.24671289559906,1.1879746934343491,1.25332210676925,1.270781928533519,1.2303206175766825,1.2298285819958195,1.1818808623827524,1.1989083649699555,1.2117025600767994,1.2153941395877157,1.215449547277313,1.211454410190343,1.2783439685101379,1.3023168437324453,1.2385751713917965,1.1851398857295965,1.1834269709326803,1.1662188909670785,1.2308155545648314,1.210837451378679,1.1988029394937834,1.2029322262739774,1.1855968294399684,1.179611112271029,1.2711634785428936,1.2627345794063851,1.192055954913073,1.2456843544500324,1.2379303133735011,1.2347397260505932,1.1652565643887338,1.2009530976864689,1.2646769321698952,1.2489555771881093,1.172602582575947,1.1996350339673836,1.2436063202697714,1.2569033200945205,1.2152560677119615,1.2047570736877447,1.16050802170202,1.1997831835983543,1.1857985406366607,1.2121224366810364,1.1999758124524345,1.2396757139733514,1.2072006289560182,1.238296255997629,1.1669029235490431,1.2020609861992895,1.2824480457111285,1.325921683353576,1.2067106211039174,1.2103005685444015,1.2468142117444287,1.247116959452697,1.2683189932934886,1.236836278204537,1.2356482533300128,1.226252510420082,1.1454124706101507,1.2035351324143106,1.2043242683896922,1.2004062882135933
Tapu Bulu,Bullet Seed,Solar Beam or Grass Knot,40,1.2239282012780108,1.2092084348435337,1.3082977200516952,1.324912461740419,1.2262002597619204,1.245756299824138,1.1921666762743177,1.2391598246466442,1.2630500956617297,1.2699376703861858,1.2365860415041159,1.2540539638184753,1.30997418434811,1.3337194173611175,1.2189356859535987,1.2384813183538579,1.241734850287744,1.247063687706588,1.277015593261517,1.2666042750445201,1.2002525348939954,1.2178675476519385,1.2157470396291206,1.2488818589854813,1.2902517706860688,1.2813420244250078,1.2323457158544446,1.2874102420818474,1.2337184587139187,1.2896795485342223,1.243767757779105,1.2949900724342305,1.3046959245870176,1.293318331902482,1.195449983619741,1.2580249603582332,1.2840870959598487,1.3022607540785271,1.2276798797854849,1.2546228717155237,1.201970052321765,1.2502092356444807,1.2175335114280659,1.235504225700837,1.2513426207640013,1.308676498755028,1.3140607032553833,1.326735305491106,1.2226220681224031,1.2705232177280206,1.3201055988281372,1.360613141021872,1.2231695322340155,1.2740722126017952,1.258491979680048,1.2797811767002123,1.2698564753781438,1.2667117752922743,1.2406169210427573,1.253530209517893,1.188493665965121,1.2518405065396536,1.2103898300395364,1.2361229800283835
