Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Raikou,Thunder Shock,Wild Charge,40,1.0,1.0,1.0026986361927992,1.006487842515479,1.0,1.002065610668684,0.9999999999999999,1.0,1.0,1.0,1.004577332628221,1.0,1.0055365365173679,1.0,1.0,1.0,1.0,1.0,1.0205353481470982,1.0397492310197658,1.0208452083212358,1.0073305607389778,1.004549471878067,1.0165297159638114,1.0,1.0482677041221795,1.0,1.0,1.0114867328294361,1.0065360825909686,1.0182251936734497,1.0289341924191469,1.0,1.0,1.023383812429873,1.0447335425069655,1.0,1.0180214729532966,1.0,1.0155300427345695,1.0,1.030862058250596,1.0,1.0146434737315722,1.0029023431680473,1.0139339697143064,1.0,1.0130680206634968,1.0,1.0221011344795854,1.0,1.0
Shadow Raikou,Volt Switch,Wild Charge,40,1.0240010574891865,1.047647276419881,1.014366308867186,1.0294604116014896,1.0189242236195413,1.028041985771335,1.0157953591115694,1.0226411189435487,1.0170033107958742,1.0384388787380923,1.0108158952136936,1.0151004188349584,1.0140884440361841,1.0213579513261004,1.0278635881154974,1.0402317730659898,1.0223636553729687,1.0309743830693046,1.0247744068666782,1.045720039116522,1.0,1.0048706985628737,1.0058315229994055,1.0160066101398457,1.0009460815480142,1.0417391848934037,1.0032953490348113,1.021598640099645,1.0100103678369297,1.0109258286900151,1.0273175093925593,1.0316283351144262,1.0086031202428802,1.0153811481231403,1.0225466741086244,1.0220987688470011,1.0144452120939145,1.0294353125344529,1.0181221720121325,1.0293866060564896,1.011229447789797,1.02853223441104,1.0229579216146962,1.0372012394091525,1.0272360467345538,1.036248625279459,1.020910711143371,1.0337139269953057,1.023929076546093,1.0411702706114656,1.001716323364355,1.0118437141853112
Shadow Raikou,Thunder Shock,Thunderbolt,40,1.080398229094136,1.0753400827637232,1.0837214697138011,1.0814997127819452,1.0747628960663593,1.0728201091618201,1.078689682142095,1.0766346050507363,1.0885819983757257,1.0777227544732562,1.0813517826201073,1.072555539920022,1.0782197677978664,1.0678754621399686,1.074184193963994,1.0688010843446176,1.0824014821555898,1.0732050095931414,1.1052588983969645,1.1132424554793303,1.1001553631410752,1.0992982177920343,1.1003178364307924,1.0945468657870554,1.0872751712457633,1.134489996890225,1.0763388315067968,1.0927925749930996,1.0760388852815197,1.0864592912753694,1.0845540108160423,1.1029861587228167,1.0740359694449322,1.0842621059707276,1.1078346934577155,1.1015721655317394,1.0913072603947584,1.0841664568413436,1.082192154893722,1.0817788274464446,1.0887565156171688,1.0992121104322612,1.081617489456692,1.0867622537355626,1.0812536544524585,1.0851428215545478,1.0862807294519916,1.0802961222074632,1.0839514351635433,1.0813584322388792,1.0800667408901243,1.0836000128811705
Shadow Raikou,Volt Switch,Thunderbolt,40,1.1060020325938196,1.1251314226507558,1.0976209074425536,1.1053648305201509,1.0944168345509233,1.0966330002908546,1.099626719851227,1.1044340100184311,1.1045114956009696,1.1125532129128217,1.0847239686754726,1.085641525184063,1.088010597344197,1.0893447709030988,1.1033000776953052,1.1122601663985014,1.1066657513741334,1.1093820696423788,1.104143713947137,1.1223627139856447,1.086285384043763,1.0712479821815166,1.084429435317825,1.0756693207509402,1.0775502661705914,1.1254283499188003,1.098292471247441,1.10658943762409,1.085977241025163,1.0832924578286973,1.099776993005899,1.1068896268771695,1.087201289620339,1.090319072705187,1.090239904795391,1.0989885610396402,1.0931155838355924,1.0948551927453953,1.1044835260989696,1.1025555799880724,1.0918684323379295,1.0936286937011264,1.1011887220397891,1.1132942130871188,1.1029301517487802,1.1101372810535974,1.108660185498858,1.1076747842964092,1.0992845328693877,1.1049311660153924,1.0826205848898804,1.0953646153102317
Shadow Raikou,Thunder Shock,Thunder,40,1.229913522267693,1.2107153791661318,1.2602156153755435,1.2401006217052062,1.2019075618222175,1.215312085970489,1.2101767674025465,1.2151075975862058,1.2697008053282328,1.2532657605803434,1.2198545266804415,1.2134001228679698,1.2297566683769525,1.2128842888350366,1.2328726852696057,1.2254171843541437,1.2353299311057342,1.2311327328266333,1.2655485623728762,1.2764996664514652,1.2480829517997163,1.2283564115789272,1.2337671252121674,1.2295515065319307,1.231577408960674,1.2954998963408313,1.2195994269666433,1.2371907651819212,1.2103550049458556,1.2100198824811859,1.2150611732156271,1.2459764435805256,1.2226646201637876,1.2162527173326463,1.2451140021096474,1.260926294269707,1.2228997683055771,1.2352701892171132,1.2031023816025532,1.211285102277874,1.2201545423692162,1.2423960563376255,1.2129748969567609,1.2284179571279814,1.2169775195791983,1.222415848671714,1.213907671028079,1.216454872226028,1.2092711740451023,1.228679179100533,1.2153745988658715,1.2196361741566684
