Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Groudon, Tier 5","Groudon, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Swampert, Mega Tier","Mega Swampert, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Corsola, Tier 3","Corsola, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Kabutops, Tier 3","Kabutops, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Omastar, Tier 3","Omastar, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3","Whiscash, Tier 3","Whiscash, Tier 3"
(Boss weights),,,,1.8518518518518516,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Venusaur,Vine Whip,Frenzy Plant,40,1.0251083365068352,1.0,1.0285397321815135,1.0,1.0280831696158912,1.0,1.0,1.0,1.0,1.0,1.0,1.0093526526376584,1.0,1.0050176747066681,1.0,1.0,1.0129397582968385,1.0282889485844013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0458686595805295,1.02989665724374,1.0070797711804471,1.0,1.0,1.0010652102286792,0.9999999999999999,1.0,1.0037942876442767,1.0,1.0,1.015578002249461,1.007566441633276,1.0171408625820197,1.0299180367167542,1.0097472302302999,1.002726341972276,1.0,1.0,1.00368612344479,1.0,1.0,1.022975045562375,1.0073092298104631,1.0062849199090114,1.0,1.0,1.0029129334105582,1.0,1.0,1.0,1.0,1.0057996621713878,0.9999999999999999,1.0035294048754697,1.0050944211376471,1.0,1.0,0.9999999999999999,1.0,1.0,1.007617053719509,1.003019032245131,1.0,1.0,1.0,1.0,1.0,1.0383072619153788,1.0685427376519812,0.9999999999999999,1.0,1.0,1.005189521324925,1.0,1.0,1.0066366416228272,1.0,1.0,1.0,1.0,1.0,1.0153553472750283,1.0034432380339509,1.0174230003506568,1.0023430985622448,1.0014044819059316,1.0018060470590295,1.0055088312876408,1.0159974780003402
Mega Venusaur,Razor Leaf,Frenzy Plant,40,1.0750234181614728,1.0659858757297271,1.0783137113081747,1.0627361785869762,1.0786602086192063,1.0618028001019026,1.066800106086234,1.069945190146663,1.049480032924824,1.0536394106656792,1.0444900511242463,1.0543814298282421,1.0332625678269547,1.0416821197423811,1.0276350733915223,1.0302199057000836,1.0601742645949495,1.071606352516156,1.0259553687091287,1.0285901797610624,1.0627349467362823,1.0698749719600962,1.061494131252441,1.0586759957812963,1.053666778070847,1.0648101654196693,1.0254639330491138,1.028143503721396,1.0842808964311876,1.0583060937359012,1.029691358774629,1.0274169529201211,1.0383219493907747,1.0422735712667572,1.052982264394814,1.0448699544204505,1.0463365141903969,1.0391435182050504,1.0213336114544487,1.0432449086921052,1.0417431669049293,1.0537466563433957,1.039610406557707,1.0176737379759615,1.0226194541702076,1.0237472943805446,1.0273594087315663,1.0248621442473465,1.0474279528121697,1.0408830514785434,1.0537906156117223,1.0581109404440014,1.0555896534710028,1.0400049986367355,1.0598389357243645,1.0633999723234184,1.0543628833169119,1.0707630878132102,1.0783273602935473,1.067490174593693,1.0349281348112518,1.0464895906998521,1.0263726602042242,1.02573665477744,1.069009751854131,1.067980565663399,1.044089570755038,1.0364069286266326,1.0266406481596426,1.025203176859054,1.047685122691012,1.0364406721036885,1.0507987635959832,1.0486574686712158,1.0529360374756773,1.051892495895636,1.0805979173428994,1.120117253630421,1.0568942417704479,1.0493683617697853,1.0611693027223295,1.0476310876698325,1.046379149732029,1.0428157607597914,1.04770987717638,1.040698058110702,1.0421792263100305,1.0436316651082849,1.0697699368255567,1.062841371640674,1.046494952770762,1.0235552284801182,1.058261015934335,1.0434498183879832,1.0222383935580652,1.0270103227518894,1.0551408105604352,1.0278344664826513
Mega Venusaur,Vine Whip,Solar Beam,40,1.154458302793812,1.0975480299935836,1.162508060531664,1.095198818950187,1.1617295656270636,1.0944952901859504,1.0940360612253024,1.0855560110000417,1.0888529476336057,1.088458023141442,1.081425587383005,1.088359800873696,1.131882114520099,1.108701498894024,1.1105813782126046,1.1004326506017574,1.1049859235346144,1.1216805389097055,1.1040934410335397,1.0890475681482357,1.1145150026487032,1.0921752496321249,1.1019597494946018,1.0898373879138825,1.1172376594985165,1.0997702665480806,1.1200570694319825,1.1065416614824801,1.1451832787311975,1.1280266030269466,1.1077620317661674,1.0995690528396453,1.0779541543534872,1.084478725382168,1.0799348311552002,1.0814523742487276,1.098285472460129,1.0868514190866232,1.1010753925640855,1.1099924886323451,1.1207643103494562,1.122962227983743,1.0508169638015739,1.0455452269684153,1.111797999167401,1.083797128974053,1.0900838678990996,1.092524104567382,1.0892681932914732,1.0723280687502936,1.079209979677262,1.0698975790691732,1.0974226499003252,1.0893668014783846,1.1002562386203292,1.1014527448406801,1.0994588688271036,1.1006733234683712,1.092566579873007,1.078616569599699,1.066446089278392,1.1070659043213302,1.072053593861061,1.0884887084659614,1.0816548257426217,1.065680704117774,1.059348153860038,1.0492078765645032,1.0863017868687095,1.0743863820176567,1.0897291830928313,1.0781052899625496,1.0507988504733559,1.0489248256337256,1.0827399022576054,1.0818270055770325,1.1085727213999235,1.1434869950516438,1.0932664678945816,1.0822314753359408,1.122797192099347,1.1044099830298497,1.1088399007508916,1.0836925309794954,1.1142261377206204,1.0782429191425478,1.0854751524115909,1.0650371405929382,1.0851301223061482,1.0572364782801842,1.0993898714082972,1.0779885578047763,1.083948220357036,1.0744740394572374,1.0856441101977683,1.096912066968878,1.1057529278469491,1.0988008636538518
Mega Venusaur,Razor Leaf,Solar Beam,40,1.1842207645487672,1.170753324345979,1.1853931858582873,1.16915976194061,1.1827670514001078,1.170247803820193,1.1661551306766933,1.1580327336271583,1.134799432696691,1.1381910775144426,1.1205682386428026,1.1240487146402334,1.1257578299296984,1.147466108981707,1.1213252459906187,1.124887335418361,1.15294733077986,1.1524674539059696,1.1118793691715054,1.1097317444495804,1.1705910639266142,1.1726126371491858,1.1758683075553293,1.1537679178613005,1.1701471931432919,1.1577835138293777,1.135790904990193,1.1212673857218323,1.2005161451450097,1.155284865601689,1.1180407794539093,1.112302784521383,1.133019428301788,1.1242704417247984,1.1337837425279496,1.1207092429793786,1.1289775220667648,1.1195802388649114,1.1247136167149918,1.1273637405137895,1.1632699876169692,1.1430380648093028,1.1048198016571549,1.0582825530056228,1.0965612168462475,1.097117114023033,1.1230338085471467,1.1097030164158714,1.1472509842515695,1.120362719666763,1.1324299053672824,1.1232750214695155,1.138946365890932,1.126326039867915,1.1744387087860386,1.147973678299638,1.1441142363232994,1.1403310647785834,1.1710279949389841,1.1533656400819496,1.1024538331123321,1.130611500033687,1.1199929339401482,1.0939776645175587,1.1466810338320994,1.1401014089669839,1.1143537744154985,1.0972718195178974,1.0854517675693607,1.1057559658699334,1.1284210658398417,1.1140404128975614,1.1094193576860456,1.116339256673224,1.138564273361021,1.1256391989916588,1.1632820624630014,1.1938244910335054,1.1741322579685396,1.1547509699161027,1.153046640319624,1.1318305135607474,1.1577507937303457,1.1268731636671059,1.150265446967292,1.129487851560671,1.1340569134633194,1.119044103511727,1.141341348569859,1.1288669229361157,1.1225583535914092,1.0955266004751316,1.1373611236880314,1.128370913620952,1.1108562190275582,1.1035702318324483,1.1358053643607062,1.1282443894432173
Mega Venusaur,Vine Whip,Petal Blizzard,40,1.2538044527274295,1.197751469376688,1.2607121791704656,1.2010835174618597,1.261150090483744,1.196801505458748,1.1867998355940015,1.1847054747670358,1.1873916530112925,1.1978720503598266,1.1863411713074683,1.2071296070003132,1.2470687436487369,1.2078193677740028,1.2173272867678286,1.2034934224860914,1.2180824030511346,1.2303844549277507,1.2062035250675116,1.20190929636728,1.217130848323573,1.1965656740733726,1.2201662703964342,1.1956062538948287,1.1958857556451936,1.1875224440202694,1.2156274889417407,1.2141913153487953,1.2735209577641433,1.2477083648183842,1.2319749194286715,1.2062954913541943,1.1879078049921683,1.204761259505835,1.1652474015533958,1.1802381133203177,1.207633552348403,1.203863047645947,1.204839743333008,1.2217510079290452,1.2328222829202933,1.2306988368425031,1.2125711832801738,1.1812326606548178,1.2118263997996606,1.2082439885777803,1.2016898162911944,1.1955331957822208,1.1995450654651174,1.1895999223300568,1.2001483560708863,1.2085144354754829,1.2133047815459852,1.207455977915114,1.1991746686644862,1.1952587427250376,1.209055068995218,1.2365627394426428,1.189074396614091,1.1777320642175593,1.2002380601475013,1.2227527462220815,1.1962978754137088,1.192903460584811,1.1852986366584117,1.1792663977915678,1.1595091584236026,1.1680742869359584,1.2022564975039736,1.1920615946620758,1.2071207870717153,1.202567980377812,1.1582135127849178,1.1672461505497007,1.1826044075822246,1.1819704978054706,1.218855203709894,1.2672204350009635,1.1931784269476524,1.179733341685982,1.186215237066624,1.191144495510581,1.204936229769588,1.199122308360247,1.2080032138840635,1.195620267031038,1.1889782347972642,1.1874580484155908,1.1903166357788841,1.1825384618145545,1.2285223533268255,1.1945437808904933,1.2055510644361285,1.1926341254985475,1.1989283937690358,1.2001459184271528,1.2020755751874357,1.1862995443087916
